                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.63224,                0.40631,                0.88554,                0.95235,                0.91886,                0.97376,                0.79523,                0.65869,                0.42345,                0.86324,              0.0086734,              0.0086734,              0.0086734
                    136,                0.62391,                0.39684,                0.88804,                0.95452,                 0.9649,                0.98117,                0.79324,                0.66864,                0.37989,                0.87328,              0.0086635,              0.0086635,              0.0086635
                    137,                0.62496,                0.39275,                0.87802,                0.94389,                0.93103,                0.97645,                0.80306,                0.67133,                0.38135,                0.86654,              0.0086536,              0.0086536,              0.0086536
                    138,                 0.6388,                0.42045,                 0.9042,                0.95218,                 0.9155,                0.97284,                0.78278,                0.71103,                0.39367,                0.88612,              0.0086437,              0.0086437,              0.0086437
                    139,                 0.5969,                0.39099,                 0.8778,                0.93956,                0.95402,                0.97328,                0.78725,                0.70338,                0.40245,                 0.8833,              0.0086338,              0.0086338,              0.0086338
                    140,                0.64595,                0.40515,                  0.889,                0.94176,                0.94253,                0.96489,                 0.7855,                0.65247,                0.39188,                0.85664,              0.0086239,              0.0086239,              0.0086239
                    141,                   0.62,                0.39922,                0.89028,                0.96307,                0.91954,                0.97386,                0.79361,                0.65754,                0.40246,                 0.8636,               0.008614,               0.008614,               0.008614
                    142,                0.62435,                 0.3886,                0.88605,                0.95202,                0.91237,                0.97041,                0.80908,                0.65028,                0.38517,                0.85875,              0.0086041,              0.0086041,              0.0086041
                    143,                0.64331,                0.40708,                0.89659,                0.96393,                0.90805,                0.97153,                0.79559,                0.63814,                0.40364,                0.85493,              0.0085942,              0.0085942,              0.0085942
                    144,                0.63023,                 0.4031,                0.88466,                0.96907,                0.91954,                0.96771,                0.80442,                0.63186,                0.38799,                0.86128,              0.0085843,              0.0085843,              0.0085843
