epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,2097.87,0.77743,0.44434,0.9013,0.93898,0.8,0.87928,0.6597,0.82965,0.55395,1.00407,0.0085447,0.0085447,0.0085447
149,2112.01,0.72139,0.42644,0.88977,0.95978,0.79546,0.87518,0.63671,0.82812,0.63221,1.01163,0.0085348,0.0085348,0.0085348
150,2126.12,0.73082,0.45668,0.91376,0.9588,0.77588,0.88165,0.66235,0.7992,0.53995,1.00559,0.0085249,0.0085249,0.0085249
151,2140.24,0.72086,0.42104,0.92498,0.91098,0.85284,0.89858,0.66846,0.7963,0.5036,1.01447,0.008515,0.008515,0.008515
152,2154.39,0.71107,0.43812,0.91509,0.89409,0.84429,0.89184,0.66369,0.8309,0.53287,1.05825,0.0085051,0.0085051,0.0085051
153,2168.42,0.65292,0.4055,0.89585,0.94908,0.8,0.87775,0.66584,0.78592,0.50724,0.96141,0.0084952,0.0084952,0.0084952
154,2182.54,0.70434,0.4267,0.89179,0.91982,0.85,0.9011,0.69614,0.73083,0.49149,0.90649,0.0084853,0.0084853,0.0084853
155,2196.67,0.6995,0.42415,0.88961,0.95976,0.79518,0.88767,0.67727,0.7415,0.50921,0.91589,0.0084754,0.0084754,0.0084754
156,2210.78,0.7289,0.43516,0.9001,0.92225,0.79089,0.86272,0.64307,0.78818,0.56896,0.93303,0.0084655,0.0084655,0.0084655
157,2224.92,0.69595,0.42911,0.89769,0.90347,0.78004,0.88862,0.66147,0.78975,0.55499,0.9528,0.0084556,0.0084556,0.0084556
158,2239.03,0.75186,0.44553,0.8948,0.96593,0.81667,0.90773,0.63052,0.83033,0.52889,0.99999,0.0084457,0.0084457,0.0084457
159,2253.17,0.72319,0.43059,0.90946,0.96947,0.8,0.90491,0.67313,0.78265,0.53464,0.96655,0.0084358,0.0084358,0.0084358
160,2267.34,0.70987,0.43908,0.8996,0.88176,0.85,0.88302,0.64717,0.76,0.50213,0.90466,0.0084259,0.0084259,0.0084259
161,2281.54,0.72833,0.45299,0.90778,0.94179,0.81667,0.90817,0.66803,0.78792,0.55794,0.94758,0.008416,0.008416,0.008416
162,2295.73,0.71802,0.43389,0.90854,0.93551,0.81667,0.89173,0.66006,0.77315,0.4949,0.93395,0.0084061,0.0084061,0.0084061
163,2309.86,0.72059,0.44197,0.89144,0.85821,0.78333,0.87013,0.65421,0.78515,0.4875,0.95691,0.0083962,0.0083962,0.0083962
164,2323.93,0.70769,0.43255,0.91547,0.85146,0.85988,0.88173,0.65627,0.80468,0.50786,0.98824,0.0083863,0.0083863,0.0083863
165,2338.1,0.7055,0.4443,0.91481,0.84149,0.85,0.8752,0.6406,0.80888,0.53323,0.97343,0.0083764,0.0083764,0.0083764
166,2352.2,0.70134,0.41949,0.89308,0.97823,0.74893,0.87518,0.64334,0.79225,0.58656,0.95298,0.0083665,0.0083665,0.0083665
167,2366.38,0.70888,0.42545,0.91573,0.97638,0.78333,0.87871,0.66603,0.79096,0.57296,0.97442,0.0083566,0.0083566,0.0083566
168,2380.42,0.70143,0.42415,0.90762,0.86694,0.75,0.85959,0.6462,0.8094,0.57985,0.97762,0.0083467,0.0083467,0.0083467
169,2394.51,0.70775,0.41427,0.90681,0.87573,0.82221,0.87072,0.64154,0.79804,0.56484,0.96817,0.0083368,0.0083368,0.0083368
170,2408.67,0.6927,0.41627,0.91688,0.93519,0.8,0.8914,0.64825,0.78579,0.51956,0.98019,0.0083269,0.0083269,0.0083269
171,2422.73,0.76299,0.43838,0.90154,0.905,0.83333,0.8721,0.64649,0.74408,0.54335,0.93395,0.008317,0.008317,0.008317
172,2436.99,0.67018,0.39546,0.92008,0.91728,0.83333,0.88845,0.64505,0.79764,0.526,0.95693,0.0083071,0.0083071,0.0083071
173,2451.07,0.67889,0.41485,0.89723,0.9583,0.76596,0.88986,0.68182,0.74573,0.49046,0.95536,0.0082972,0.0082972,0.0082972
174,2465.16,0.75043,0.44256,0.9024,0.91011,0.84384,0.89234,0.65809,0.77243,0.49134,0.93594,0.0082873,0.0082873,0.0082873
175,2479.32,0.71254,0.4179,0.89609,0.97929,0.78835,0.90237,0.67591,0.77329,0.5171,0.96279,0.0082774,0.0082774,0.0082774
176,2493.37,0.68104,0.41808,0.90153,0.90886,0.81667,0.89367,0.66615,0.8146,0.49713,0.9934,0.0082675,0.0082675,0.0082675
